0.088, 1.2864
0.088, 1.3046
0.088, 1.3660
0.103, 1.2668
0.115, 1.1120
0.121, 1.0807
0.129, 1.0315
0.135, 1.0010
0.141, 0.9770
0.145, 1.0037
0.209, 0.6359
0.238, 0.5211
0.242, 0.5353
0.306, 0.3219
0.316, 0.2767
0.320, 0.2704
0.386, 0.1378
0.400, 0.1067
0.412, 0.0968
0.433, 0.0642
0.445, 0.0453
0.470, 0.0288
0.471, 0.0206
0.479, 0.0121
0.485, 0.0076
0.489, 0.0045
0.494, 0.0001
0.496, -0.0013
0.498, -0.0003
0.499, -0.0029
0.500, -0.0004
0.503, 0.0025
0.508, -0.0013
0.509, -0.0093
0.513, -0.0132
0.516, -0.0137
0.520, -0.0091
0.544, -0.0311
0.591, -0.0493
0.634, -0.0596
0.708, -0.0700
0.823, -0.0743
0.934, -0.0848
1.163, -0.0914
1.170, -0.0926
1.171, -0.0886
1.944, -0.0955
2.037, -0.1003
2.059, -0.0990
2.538, -0.0957
3.146, -0.1003
3.180, -0.0965
3.626, -0.1016
4.297, -0.1006
5.457, -0.1010
5.590, -0.0975
5.748, -0.1019
7.562, -0.1027
10.278, -0.1031
