0,5.0
1,5.2
2,4.9
3,4.4
4,3.6
5,2.6
6,1.7
7,0.8
8,-0.1
9,-0.6
10,-1.0
11,-1.1
12,-0.9
13,-0.5
14,0.1
15,0.7
16,1.5
17,2.3
18,2.9
19,3.4
20,3.7
21,3.8
22,3.7
23,3.4
24,3.0
25,2.4
26,1.8
27,1.3
28,0.7
29,0.3
30,0.0
31,-0.1
32,0.0
33,0.1
34,0.4
35,0.9
36,1.4
37,1.8
38,2.3
39,2.6
40,2.9
41,3.0
42,2.9
43,2.8
44,2.5
45,2.3
46,2.0
47,1.6
48,1.3
49,1.0
50,0.9
51,0.8
52,0.8
53,0.9
54,1.0
55,1.3
56,1.5
57,1.8
58,2.0
59,2.2
60,2.4
61,2.5
62,2.5
63,2.5
64,2.4
65,2.3
66,2.1
67,1.9
68,1.7
69,1.5
70,1.3
71,1.2
72,1.1
73,1.1
74,1.1
75,1.2
76,1.3
77,1.5
78,1.6
79,1.8
80,2.0
81,2.1
82,2.2
83,2.2
84,2.2
85,2.1
86,2.0
87,1.8
88,1.7
89,1.5
90,1.4
91,1.2
92,1.1
93,1.0
94,1.1
95,1.2
96,1.3
97,1.4
98,1.6
99,1.7
100,1.9
101,2.0
102,2.1
103,2.2
104,2.2
105,2.1
106,2.0
107,1.9
108,1.8
109,1.6
110,1.5
111,1.4
112,1.3
113,1.3
114,1.3
115,1.4
