0,15.9
1,16.1
2,15.8
3,14.9
4,13.6
5,12.1
6,10.7
7,9.4
8,8.1
9,7.3
10,6.8
11,6.6
12,6.9
13,7.6
14,8.4
15,9.4
16,10.5
17,11.6
18,12.4
19,13.0
20,13.3
21,13.1
22,12.8
23,12.2
24,11.3
25,10.3
26,9.5
27,8.7
28,8.1
29,7.7
30,7.5
31,7.6
32,8.0
33,8.5
34,9.1
35,9.8
36,10.4
37,11.0
38,11.5
39,11.7
40,11.7
41,11.6
42,11.2
43,10.7
44,10.2
45,9.6
46,9.0
47,8.6
48,8.3
49,8.1
50,8.1
51,8.3
52,8.5
53,8.9
54,9.4
55,9.8
56,10.2
57,10.5
58,10.8
59,10.9
60,10.9
61,10.7
62,10.5
63,10.1
64,9.8
65,9.4
66,9.1
67,8.9
68,8.6
69,8.5
70,8.6
71,8.7
72,8.9
73,9.1
74,9.4
75,9.7
76,9.9
77,10.2
78,10.3
79,10.3
80,10.4
81,10.3
82,10.0
83,9.9
84,9.6
85,9.4
86,9.2
87,9.0
88,8.8
89,8.8
90,8.7
91,8.8
92,8.8
93,9.0
94,9.1
95,9.3
96,9.5
97,9.6
98,9.7
99,9.8
100,9.8
101,9.8
102,9.7
103,9.6
104,9.4
105,9.3
106,9.1
107,9.0
108,8.9
109,8.9
110,8.8
111,8.9
112,8.9
113,9.0
114,9.1
115,9.2
